-DOCSTART- -X- -X- O

CRICKET	NNP	NP	O
-	:	O	O
LEICESTERSHIRE	NNP	NP	ORG
TAKE	NNP	NP	O
OVER	IN	PP	O
AT	NNP	NP	O
TOP	NNP	NP	O
AFTER	NNP	NP	O
INNINGS	NNP	NP	O
VICTORY	NN	NP	O
.	.	O	O

LONDON	NNP	NP	LOC
1996-08-30	CD	NP	O

West	NNP	NP	MISC
Indian	NNP	NP	MISC
all-rounder	NN	NP	O
Phil	NNP	NP	PER
Simmons	NNP	NP	PER
took	VBD	VP	O
four	CD	NP	O
for	IN	PP	O
38	CD	NP	O
on	IN	PP	O
Friday	NNP	NP	O
as	IN	PP	O
Leicestershire	NNP	NP	ORG
beat	VBD	VP	O
Somerset	NNP	NP	ORG
by	IN	PP	O
an	DT	NP	O
innings	NN	NP	O
and	CC	O	O
39	CD	NP	O
runs	NNS	NP	O
in	IN	PP	O
two	CD	NP	O
days	NNS	NP	O
to	TO	VP	O
take	VB	VP	O
over	IN	PP	O
at	IN	PP	O
the	DT	NP	O
head	NN	NP	O
of	IN	PP	O
the	DT	NP	O
county	NN	NP	O
championship	NN	NP	O
.	.	O	O

Their	PRP$	NP	O
stay	NN	NP	O
on	IN	PP	O
top	NN	NP	O
,	,	O	O
though	RB	ADVP	O
,	,	O	O
may	MD	VP	O
be	VB	VP	O
short-lived	JJ	ADJP	O
as	IN	PP	O
title	NN	NP	O
rivals	NNS	NP	O
Essex	NNP	NP	ORG
,	,	O	O
Derbyshire	NNP	NP	ORG
and	CC	NP	O
Surrey	NNP	NP	ORG
all	DT	O	O
closed	VBD	VP	O
in	RP	PRT	O
on	IN	PP	O
victory	NN	NP	O
while	IN	SBAR	O
Kent	NNP	NP	ORG
made	VBD	VP	O
up	RP	PRT	O
for	IN	PP	O
lost	VBN	NP	O
time	NN	NP	O
in	IN	PP	O
their	PRP$	NP	O
rain-affected	JJ	NP	O
match	NN	NP	O
against	IN	PP	O
Nottinghamshire	NNP	NP	ORG
.	.	O	O

After	IN	PP	O
bowling	VBG	NP	O
Somerset	NNP	NP	ORG
out	RP	PRT	O
for	IN	PP	O
83	CD	NP	O
on	IN	PP	O
the	DT	NP	O
opening	NN	NP	O
morning	NN	NP	O
at	IN	PP	O
Grace	NNP	NP	LOC
Road	NNP	NP	LOC
,	,	O	O
Leicestershire	NNP	NP	ORG
extended	VBD	VP	O
their	PRP$	NP	O
first	JJ	NP	O
innings	NN	NP	O
by	IN	PP	O
94	CD	NP	O
runs	VBZ	VP	O
before	IN	PP	O
being	VBG	VP	O
bowled	VBD	VP	O
out	RP	PRT	O
for	IN	PP	O
296	CD	NP	O
with	IN	PP	O
England	NNP	NP	LOC
discard	VBP	VP	O
Andy	NNP	NP	PER
Caddick	NNP	NP	PER
taking	VBG	VP	O
three	CD	NP	O
for	IN	PP	O
83	CD	NP	O
.	.	O	O

Trailing	VBG	VP	O
by	IN	PP	O
213	CD	NP	O
,	,	O	O
Somerset	NNP	NP	ORG
got	VBD	VP	O
a	DT	NP	O
solid	JJ	NP	O
start	NN	NP	O
to	TO	PP	O
their	PRP$	NP	O
second	JJ	NP	O
innings	NN	NP	O
before	IN	PP	O
Simmons	NNP	NP	PER
stepped	VBD	VP	O
in	RP	PRT	O
to	TO	VP	O
bundle	VB	VP	O
them	PRP	NP	O
out	RB	ADVP	O
for	IN	PP	O
174	CD	NP	O
.	.	O	O

Essex	NNP	NP	ORG
,	,	O	O
however	RB	ADVP	O
,	,	O	O
look	VB	VP	O
certain	JJ	ADJP	O
to	TO	VP	O
regain	VB	VP	O
their	PRP$	NP	O
top	JJ	NP	O
spot	NN	NP	O
after	IN	PP	O
Nasser	NNP	NP	PER
Hussain	NNP	NP	PER
and	CC	NP	O
Peter	NNP	NP	PER
Such	JJ	NP	PER
gave	VBD	VP	O
them	PRP	NP	O
a	DT	NP	O
firm	NN	NP	O
grip	NN	NP	O
on	IN	PP	O
their	PRP$	NP	O
match	NN	NP	O
against	IN	PP	O
Yorkshire	NNP	NP	ORG
at	IN	PP	O
Headingley	NNP	NP	LOC
.	.	O	O

Hussain	NN	NP	PER
,	,	O	O
considered	VBD	VP	O
surplus	NN	NP	O
to	TO	PP	O
England	NNP	NP	LOC
's	POS	NP	O
one-day	JJ	NP	O
requirements	NNS	NP	O
,	,	O	O
struck	VBD	VP	O
158	CD	NP	O
,	,	O	O
his	PRP$	NP	O
first	JJ	NP	O
championship	NN	NP	O
century	NN	NP	O
of	IN	PP	O
the	DT	NP	O
season	NN	NP	O
,	,	O	O
as	IN	SBAR	O
Essex	NNP	NP	ORG
reached	VBD	VP	O
372	CD	NP	O
and	CC	O	O
took	VBD	VP	O
a	DT	NP	O
first	JJ	NP	O
innings	NN	NP	O
lead	NN	NP	O
of	IN	PP	O
82	CD	NP	O
.	.	O	O

By	IN	PP	O
the	DT	NP	O
close	NN	NP	O
Yorkshire	NNP	NP	ORG
had	VBD	VP	O
turned	VBN	VP	O
that	IN	SBAR	O
into	IN	PP	O
a	DT	NP	O
37-run	JJ	NP	O
advantage	NN	NP	O
but	CC	O	O
off-spinner	JJ	NP	O
Such	JJ	NP	PER
had	VBD	VP	O
scuttled	VBN	VP	O
their	PRP$	NP	O
hopes	NNS	NP	O
,	,	O	O
taking	VBG	VP	O
four	CD	NP	O
for	IN	PP	O
24	CD	NP	O
in	IN	PP	O
48	CD	NP	O
balls	NNS	NP	O
and	CC	O	O
leaving	VBG	VP	O
them	PRP	NP	O
hanging	VBG	VP	O
on	IN	PP	O
119	CD	NP	O
for	IN	PP	O
five	CD	NP	O
and	CC	O	O
praying	VBG	VP	O
for	IN	PP	O
rain	NN	NP	O
.	.	O	O

At	IN	PP	O
the	DT	NP	O
Oval	JJ	NP	LOC
,	,	O	O
Surrey	NNP	NP	ORG
captain	NN	NP	O
Chris	NNP	NP	PER
Lewis	NNP	NP	PER
,	,	O	O
another	DT	NP	O
man	NN	NP	O
dumped	VBN	VP	O
by	IN	PP	O
England	NNP	NP	LOC
,	,	O	O
continued	VBD	VP	O
to	TO	VP	O
silence	VB	VP	O
his	PRP$	NP	O
critics	NNS	NP	O
as	IN	SBAR	O
he	PRP	NP	O
followed	VBD	VP	O
his	PRP$	NP	O
four	CD	NP	O
for	IN	PP	O
45	CD	NP	O
on	IN	PP	O
Thursday	NNP	NP	O
with	IN	PP	O
80	CD	NP	O
not	RB	VP	O
out	RP	PRT	O
on	IN	PP	O
Friday	NNP	NP	O
